xFitted,yFitted
57.51651652,30398.38607
57.58058058,30474.04333
57.64464464,30549.93552
57.70870871,30626.06328
57.77277277,30702.42723
57.83683684,30779.02801
57.9009009,30855.86623
57.96496496,30932.94254
58.02902903,31010.25755
58.09309309,31087.8119
58.15715716,31165.60622
58.22122122,31243.64113
58.28528529,31321.91726
58.34934935,31400.43525
58.41341341,31479.19571
58.47747748,31558.19929
58.54154154,31637.44661
58.60560561,31716.93829
58.66966967,31796.67497
58.73373373,31876.65727
58.7977978,31956.88583
58.86186186,32037.36127
58.92592593,32118.08421
58.98998999,32199.0553
59.05405405,32280.27516
59.11811812,32361.74442
59.18218218,32443.4637
59.24624625,32525.43363
59.31031031,32607.65485
59.37437437,32690.12798
59.43843844,32772.85365
59.5025025,32855.8325
59.56656657,32939.06514
59.63063063,33022.5522
59.69469469,33106.29433
59.75875876,33190.29213
59.82282282,33274.54625
59.88688689,33359.05732
59.95095095,33443.82595
60.01501502,33528.85279
60.07907908,33614.13845
60.14314314,33699.68357
60.20720721,33785.48877
60.27127127,33871.55469
60.33533534,33957.88196
60.3993994,34044.47119
60.46346346,34131.32303
60.52752753,34218.4381
60.59159159,34305.81702
60.65565566,34393.46043
60.71971972,34481.36896
60.78378378,34569.54324
60.84784785,34657.98388
60.91191191,34746.69153
60.97597598,34835.66681
61.04004004,34924.91035
61.1041041,35014.42278
61.16816817,35104.20472
61.23223223,35194.25681
61.2962963,35284.57968
61.36036036,35375.17395
61.42442442,35466.04025
61.48848849,35557.17921
61.55255255,35648.59146
61.61661662,35740.27763
61.68068068,35832.23835
61.74474474,35924.47424
61.80880881,36016.98594
61.87287287,36109.77407
61.93693694,36202.83927
62.001001,36296.18215
62.06506507,36389.80336
62.12912913,36483.70351
