,year,yearCode,country,countryCode,gini,govExpEdu,gdpGrowth,gdpPC
1232,2005,YR2005,Norway,NOR,30.6,6.865069866,2.6254199380000003,61870.38379
1234,2005,YR2005,Pakistan,PAK,32.7,2.0497200490000003,6.518778074,3706.8240229999997
1239,2005,YR2005,Peru,PER,50.4,2.8390300269999997,6.285060325,7519.029069
1241,2005,YR2005,Poland,POL,35.8,5.425749778999999,3.5068474530000002,18937.47515
1242,2005,YR2005,Portugal,PRT,38.5,5.073949814,0.781848216,31076.644119999997
1246,2005,YR2005,Russian Federation,RUS,41.3,3.771929979,6.399965448,20042.8135
1252,2005,YR2005,Senegal,SEN,39.2,4.042300224,4.310238526,2758.353446
1258,2005,YR2005,Slovak Republic,SVK,29.3,3.7599599360000004,6.623463215,20072.35
1259,2005,YR2005,Slovenia,SVN,24.6,5.6040802,3.797972642,31128.82984
1262,2005,YR2005,South Africa,ZAF,64.8,5.063199997,5.277056312,11434.91524
1264,2005,YR2005,Spain,ESP,32.4,4.1443200110000005,3.652032674,37963.36584
1272,2005,YR2005,Sweden,SWE,26.8,6.506400107999999,2.85880324,45440.29675
1282,2005,YR2005,Tunisia,TUN,37.7,6.4515700339999995,3.486545622,8523.088776999999
1288,2005,YR2005,Ukraine,UKR,29.0,6.06441021,2.997300112,10957.55828
1290,2005,YR2005,United Kingdom,GBR,34.3,4.949150085,2.955691743,42629.94822
1292,2005,YR2005,Uruguay,URY,44.7,2.714750051,7.460132138,14606.46611
1309,2006,YR2006,Argentina,ARG,46.3,4.1282100680000005,8.0471515,20777.65271
1310,2006,YR2006,Armenia,ARM,29.7,2.715770006,13.2,8464.485726
1313,2006,YR2006,Austria,AUT,29.6,5.226520061,3.454041836,50767.848439999994
1319,2006,YR2006,Belarus,BLR,28.3,6.076960087000001,9.999994812,13214.871579999999
1328,2006,YR2006,Brazil,BRA,55.6,4.8706002239999995,3.961988722,12922.15548
1331,2006,YR2006,Bulgaria,BGR,35.7,3.9034600260000003,6.802167579,15449.43509
